id,slot,job,ja,en,description,wiki_id
10398,512,8388606,ワイケトルク,Weike Torque,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27570.html' target='_blank'>ワイケトルク</a><br>MP+25 MND+2 魔命+2<br>弱体魔法スキル+7<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27570.html' target='_blank'>Weike Torque</a><br>MP+25 MND+2 Magic Accuracy+2<br>Enfeebling magic skill +7<br>All Jobs"", ""raw""=>""MP+25 MND+2 魔命+2\n弱体魔法スキル+7""}",27570
10752,24576,8388606,プロリクスリング,Prolix Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/25037.html' target='_blank'>プロリクスリング</a><br>MP+20 ファストキャスト効果アップ 敵対心-3<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/25037.html' target='_blank'>Prolix Ring</a><br>MP+20 Enmity-3<br>Enhances \""Fast Cast\"" effect<br>All Jobs"", ""raw""=>""MP+20 ファストキャスト効果アップ 敵対心-3""}",25037
10764,24576,8388606,シェルターリング,Sheltered Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/25956.html' target='_blank'>シェルターリング</a><br>リジェネ 被プロテス効果アップ<br>被シェル効果アップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/25956.html' target='_blank'>Sheltered Ring</a><br>Adds \""Regen\"" effect<br>Enhances effect of \""Protect\"" and<br>\""Shell\"" spells cast on wearer<br>All Jobs"", ""raw""=>""リジェネ 被プロテス効果アップ\n被シェル効果アップ""}",25956
10766,24576,8388606,ルネッテリング,Lunette Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/25958.html' target='_blank'>ルネッテリング</a><br>潜在能力:魔防+7<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/25958.html' target='_blank'>Lunette Ring</a><br>Latent effect:<br>\""Magic Def. Bonus\""+7<br>All Jobs"", ""raw""=>""潜在能力:魔防+7""}",25958
10767,24576,8388606,パニシャスリング,Pernicious Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/33863.html' target='_blank'>パニシャスリング</a><br>HP+30 敵対心+5 ダブルアタック+1%<br>ストアTP+4<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/33863.html' target='_blank'>Pernicious Ring</a><br>HP+30 Enmity+5 \""Double Attack\""+1%<br>\""Store TP\""+4<br>All Jobs"", ""raw""=>""HP+30 敵対心+5 ダブルアタック+1%\nストアTP+4""}",33863
10768,24576,8388606,ゼラチナスリング,Gelatinous Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/33894.html' target='_blank'>ゼラチナスリング</a><br>被物理ダメージ-6% 被魔法ダメージ+2%<br>ユニティランク:HP+10～35<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/33894.html' target='_blank'>Gelatinous Ring</a><br>Physical damage taken -6%<br>Magic damage taken +2%<br>Unity Ranking: HP+10～35<br>All Jobs"", ""raw""=>""被物理ダメージ-6% 被魔法ダメージ+2%\nユニティランク:HP+10～35""}",33894
10769,24576,8388606,ゼラチナスリング+1,Gelatinous Ring +1,"{""ja""=>""<a href='http://wiki.ffo.jp/html/33894.html' target='_blank'>ゼラチナスリング+1</a><br>被物理ダメージ-7% 被魔法ダメージ+1%<br>ユニティランク:HP+10～35<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/33894.html' target='_blank'>Gelatinous Ring +1</a><br>Physical damage taken -7%<br>Magic damage taken +1%<br>Unity Ranking: HP+10～35<br>All Jobs"", ""raw""=>""被物理ダメージ-7% 被魔法ダメージ+1%\nユニティランク:HP+10～35""}",33894
10770,24576,8388606,カコエシクリング,Cacoethic Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/34650.html' target='_blank'>カコエシクリング</a><br>命中+10 飛命+15<br>ユニティランク:敵対心-1～-5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/34650.html' target='_blank'>Cacoethic Ring</a><br>Accuracy+10 Ranged Accuracy+15<br>Unity Ranking: Enmity-1～5<br>All Jobs"", ""raw""=>""命中+10 飛命+15\nユニティランク:敵対心-1～-5""}",34650
10771,24576,8388606,カコエシクリング+1,Cacoethic Ring +1,"{""ja""=>""<a href='http://wiki.ffo.jp/html/34650.html' target='_blank'>カコエシクリング+1</a><br>命中+11 飛命+16<br>ユニティランク:敵対心-1～-5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/34650.html' target='_blank'>Cacoethic Ring +1</a><br>Accuracy+11 Ranged Accuracy+16<br>Unity Ranking: Enmity-1～5<br>All Jobs"", ""raw""=>""命中+11 飛命+16\nユニティランク:敵対心-1～-5""}",34650
10772,24576,8388606,ペトロフリング,Petrov Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/34122.html' target='_blank'>ペトロフリング</a><br>STR+3 DEX+3 VIT+3 AGI+3 敵対心+4<br>ダブルアタック+1% ストアTP+5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/34122.html' target='_blank'>Petrov Ring</a><br>STR+3 DEX+3 VIT+3 AGI+3 Enmity+4<br>\""Double Attack\""+1% \""Store TP\""+5<br>All Jobs"", ""raw""=>""STR+3 DEX+3 VIT+3 AGI+3 敵対心+4\nダブルアタック+1% ストアTP+5""}",34122
10773,24576,8388606,フォテファイリング,Fortified Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/34123.html' target='_blank'>フォテファイリング</a><br>MP+50 命中+5 被クリティカルヒット-7%<br>被魔法ダメージ-5%<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/34123.html' target='_blank'>Fortified Ring</a><br>MP+50 Accuracy+5<br>Enemy critical hit rate -7%<br>Magic damage taken -5%<br>All Jobs"", ""raw""=>""MP+50 命中+5 被クリティカルヒット-7%\n被魔法ダメージ-5%""}",34123
10774,24576,8388606,ヴァーティゴリング,Vertigo Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/34124.html' target='_blank'>ヴァーティゴリング</a><br>INT+5 MND+5 魔命+5 被物理ダメージ-2%<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/34124.html' target='_blank'>Vertigo Ring</a><br>INT+5 MND+5 Magic Accuracy+5<br>Physical damage taken -2%<br>All Jobs"", ""raw""=>""INT+5 MND+5 魔命+5 被物理ダメージ-2%""}",34124
10784,24576,8388606,ダヌルベダリング,Dhanurveda Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26630.html' target='_blank'>ダヌルベダリング</a><br>命中+5 飛命+5 モクシャ+8<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26630.html' target='_blank'>Dhanurveda Ring</a><br>Accuracy+5 Ranged Attack+5<br>\""Subtle Blow\""+8<br>All Jobs"", ""raw""=>""命中+5 飛命+5 モクシャ+8""}",26630
10785,24576,8388606,プロボカレリング,Provocare Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26629.html' target='_blank'>プロボカレリング</a><br>防15 VIT+3 敵対心+5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26629.html' target='_blank'>Provocare Ring</a><br>DEF:15 VIT+3 Enmity+5<br>All Jobs"", ""raw""=>""防15 VIT+3 敵対心+5""}",26629
10786,24576,8388606,メディアトルリング,Mediator's Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26628.html' target='_blank'>メディアトルリング</a><br>MP+25 魔命+4 敵対心-5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26628.html' target='_blank'>Mediator's Ring</a><br>MP+25 Magic Accuracy+4 Enmity-5<br>All Jobs"", ""raw""=>""MP+25 魔命+4 敵対心-5""}",26628
10789,24576,8388606,フォルハディリング,Folhardi Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26625.html' target='_blank'>フォルハディリング</a><br>命中-4 攻+9<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26625.html' target='_blank'>Folhardi Ring</a><br>Accuracy-4 Attack+9<br>All Jobs"", ""raw""=>""命中-4 攻+9""}",26625
10790,24576,8388606,エフェドラリング,Ephedra Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26484.html' target='_blank'>エフェドラリング</a><br>防4 回復魔法スキル+7 カーズナ効果アップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26484.html' target='_blank'>Ephedra Ring</a><br>DEF:4 Healing magic skill +7<br>Enhances \""Cursna\"" effect<br>All Jobs"", ""raw""=>""防4 回復魔法スキル+7 カーズナ効果アップ""}",26484
10791,24576,8388606,ハオマリング,Haoma's Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26485.html' target='_blank'>ハオマリング</a><br>防5 回復魔法スキル+8 カーズナ効果アップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26485.html' target='_blank'>Haoma's Ring</a><br>DEF:5 Healing magic skill +8<br>Enhances \""Cursna\"" effect<br>All Jobs"", ""raw""=>""防5 回復魔法スキル+8 カーズナ効果アップ""}",26485
10797,24576,8388606,ダガツリング,Dagaz Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27073.html' target='_blank'>ダガツリング</a><br>攻+10 飛攻+10 敵対心-1<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27073.html' target='_blank'>Dagaz Ring</a><br>Attack+10 Ranged Attack+10 Enmity-1<br>All Jobs"", ""raw""=>""攻+10 飛攻+10 敵対心-1""}",27073
10798,24576,8388606,アイワツリング,Eihwaz Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27072.html' target='_blank'>アイワツリング</a><br>HP+70 敵対心+5 デス耐性<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27072.html' target='_blank'>Eihwaz Ring</a><br>HP+70 Enmity+5 <br>Enhances resistance against \""Death\""<br>All Jobs"", ""raw""=>""HP+70 敵対心+5 デス耐性""}",27072
10799,24576,8388606,スリョールリング,Sljor Ring,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27363.html' target='_blank'>スリョールリング</a><br>STR+3 ダブルアタック+1% スロウ+2%<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/27363.html' target='_blank'>Sljor Ring</a><br>STR+3 \""Double Attack\""+1% \""Slow\""+2%<br>All Jobs"", ""raw""=>""STR+3 ダブルアタック+1% スロウ+2%""}",27363
10805,2,130,パンツァーシールド,Panzer Shield,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26622.html' target='_blank'>パンツァーシールド</a><br>防35 VIT+10 被物理ダメージ-7% スロウ+2%<br>戦ナ"", ""en""=>""<a href='http://wiki.ffo.jp/html/26622.html' target='_blank'>Panzer Shield</a><br>DEF:35 VIT+10 <br>Physical damage taken -7%<br>\""Slow\""+2%<br>WAR/PLD"", ""raw""=>""防35 VIT+10 被物理ダメージ-7% スロウ+2%""}",26622
10806,2,128,アダマス,Adamas,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26623.html' target='_blank'>アダマス</a><br>防35 全状態異常のレジスト効果アップ<br>被ダメージ-5% 被ケアル回復量+15%<br>リアクト効果アップ<br>ナ"", ""en""=>""<a href='http://wiki.ffo.jp/html/26623.html' target='_blank'>Adamas</a><br>DEF:35 Increases resistance to<br>all status ailments<br>Damage taken -5%<br>Enhances \""Reprisal\"" effect<br>Potency of \""Cure\"" effect<br>received +15%<br>PLD"", ""raw""=>""防35 全状態異常のレジスト効果アップ\n被ダメージ-5% 被ケアル回復量+15%\nリアクト効果アップ""}",26623
10826,1024,3245112,ウィトフルベルト,Witful Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/25902.html' target='_blank'>ウィトフルベルト</a><br>防8 ファストキャスト効果アップ<br>ヘイスト+3% クイックマジック+3%<br>白黒赤詩召青学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/25902.html' target='_blank'>Witful Belt</a><br>DEF:8 <br>Enhances \""Fast Cast\"" effect<br>Haste+3%<br>Occ. quickens spellcasting +3%<br>WHM/BLM/RDM/BRD/SMN/BLU/SCH/GEO"", ""raw""=>""防8 ファストキャスト効果アップ\nヘイスト+3% クイックマジック+3%""}",25902
10832,1024,8388606,キャリアーサッシュ,Carrier's Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26679.html' target='_blank'>キャリアーサッシュ</a><br>防5 HP+20 耐火+15 耐氷+15 耐風+15<br>耐土+15 耐雷+15 耐水+15 耐光+15 耐闇+15<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26679.html' target='_blank'>Carrier's Sash</a><br>DEF:5 HP+20 +15 +15 <br>+15 +15 +15 <br>+15 +15 +15<br>All Jobs"", ""raw""=>""防5 HP+20 耐火+15 耐氷+15 耐風+15\n耐土+15 耐雷+15 耐水+15 耐光+15 耐闇+15""}",26679
10833,1024,3441688,マニアクスサッシュ,Maniacus Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26678.html' target='_blank'>マニアクスサッシュ</a><br>防7 魔命-10 魔攻+7<br>魔法クリティカルヒット+10%<br>白黒詩召か学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/26678.html' target='_blank'>Maniacus Sash</a><br>DEF:7 Magic Accuracy-10<br>\""Magic Atk. Bonus\""+7<br>Magic critical hit rate +10%<br>WHM/BLM/BRD/SMN/PUP/SCH/GEO"", ""raw""=>""防7 魔命-10 魔攻+7\n魔法クリティカルヒット+10%""}",26678
10834,1024,8388606,ワニオンベルト,Wanion Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26677.html' target='_blank'>ワニオンベルト</a><br>防9 STR+8 DEX+8 VIT-5 AGI-5 INT+8<br>MND-5<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26677.html' target='_blank'>Wanion Belt</a><br>DEF:9 STR+8 DEX+8 VIT-5<br>AGI-5 INT+8 MND-5<br>All Jobs"", ""raw""=>""防9 STR+8 DEX+8 VIT-5 AGI-5 INT+8\nMND-5""}",26677
10835,1024,3179576,スリポーサッシュ,Slipor Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26533.html' target='_blank'>スリポーサッシュ</a><br>魔防+3 被魔法ダメージ-3%<br>白黒赤詩召学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/26533.html' target='_blank'>Slipor Sash</a><br>Magic Def. Bonus+3<br>Magic damage taken -3%<br>WHM/BLM/RDM/BRD/SMN/SCH/GEO"", ""raw""=>""魔防+3 被魔法ダメージ-3%""}",26533
10836,1024,4947938,フォスベルト,Phos Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26676.html' target='_blank'>フォスベルト</a><br>防8 ヘイスト+7%<br>戦赤シナ暗獣詩狩侍忍竜青コ踊剣"", ""en""=>""<a href='http://wiki.ffo.jp/html/26676.html' target='_blank'>Phos Belt</a><br>DEF:8 Haste+7%<br>WAR/RDM/THF/PLD/DRK/BST/BRD/RNG/SAM/NIN/DRG/BLU/COR/DNC/RUN"", ""raw""=>""防8 ヘイスト+7%""}",26676
10837,1024,4947938,フォスベルト+1,Phos Belt +1,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26676.html' target='_blank'>フォスベルト+1</a><br>防9 ヘイスト+8%<br>戦赤シナ暗獣詩狩侍忍竜青コ踊剣"", ""en""=>""<a href='http://wiki.ffo.jp/html/26676.html' target='_blank'>Phos Belt +1</a><br>DEF:9 Haste+8%<br>WAR/RDM/THF/PLD/DRK/BST/BRD/RNG/SAM/NIN/DRG/BLU/COR/DNC/RUN"", ""raw""=>""防9 ヘイスト+8%""}",26676
10838,1024,1862482,パテンシアサッシュ,Patentia Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27079.html' target='_blank'>パテンシアサッシュ</a><br>防8 攻+8 二刀流効果アップ ストアTP+5<br>戦黒シ暗獣狩忍竜か踊学"", ""en""=>""<a href='http://wiki.ffo.jp/html/27079.html' target='_blank'>Patentia Sash</a><br>DEF:8 Attack+8<br>Enhances \""Dual Wield\"" effect<br>\""Store TP\""+5<br>WAR/BLM/THF/DRK/BST/RNG/NIN/DRG/PUP/DNC/SCH"", ""raw""=>""防8 攻+8 二刀流効果アップ ストアTP+5""}",27079
10839,1024,3178552,オティラサッシュ,Othila Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27078.html' target='_blank'>オティラサッシュ</a><br>防6 魔攻+6 敵対心-2<br>詠唱中断率10%ダウン<br>白黒赤召学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/27078.html' target='_blank'>Othila Sash</a><br>DEF:6 \""Magic Atk. Bonus\""+6 Enmity-2 <br>Spell interruption rate down 10%<br>WHM/BLM/RDM/SMN/SCH/GEO"", ""raw""=>""防6 魔攻+6 敵対心-2\n詠唱中断率10%ダウン""}",27078
10840,1024,3245112,アスワングサッシュ,Aswang Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27381.html' target='_blank'>アスワングサッシュ</a><br>防5 MP+20 魔命+3 魔攻+3<br>魔法クリティカルヒット+5%<br>白黒赤詩召青学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/27381.html' target='_blank'>Aswang Sash</a><br>DEF:5 MP+20 Magic Accuracy+3<br>\""Magic Atk. Bonus\""+3<br>Magic critical hit rate +5%<br>WHM/BLM/RDM/BRD/SMN/BLU/SCH/GEO"", ""raw""=>""防5 MP+20 魔命+3 魔攻+3\n魔法クリティカルヒット+5%""}",27381
10841,1024,4925508,パンサラササッシュ,Panthalassa Sash,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27382.html' target='_blank'>パンサラササッシュ</a><br>防8 攻+4 回避+10 ヘイスト+5%<br>モシ狩忍青コ踊剣"", ""en""=>""<a href='http://wiki.ffo.jp/html/27382.html' target='_blank'>Panthalassa Sash</a><br>DEF:8 Attack+4 Evasion+10 Haste+5%<br>MNK/THF/RNG/NIN/BLU/COR/DNC/RUN"", ""raw""=>""防8 攻+4 回避+10 ヘイスト+5%""}",27382
10842,1024,3441688,ブゴニアロープ,Bougonia Rope,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27573.html' target='_blank'>ブゴニアロープ</a><br>防7 HP+15 MP+15 魔命+5 敵対心-1<br>コンサーブMP+3<br>白黒詩召か学風"", ""en""=>""<a href='http://wiki.ffo.jp/html/27573.html' target='_blank'>Bougonia Rope</a><br>DEF:7 HP+15 MP+15 Magic Accuracy+5<br>Enmity-1 \""Conserve MP\""+3<br>WHM/BLM/BRD/SMN/PUP/SCH/GEO"", ""raw""=>""防7 HP+15 MP+15 魔命+5 敵対心-1\nコンサーブMP+3""}",27573
10844,1024,4945894,カーダタベルト,Caudata Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27574.html' target='_blank'>カーダタベルト</a><br>STR+6 VIT+6 INT+6 攻+15<br>ウェポンスキルの命中+10<br>戦モ赤シナ暗獣詩侍忍竜青コ踊剣"", ""en""=>""<a href='http://wiki.ffo.jp/html/27574.html' target='_blank'>Caudata Belt</a><br>STR+6 VIT+6 INT+6 Attack+15<br>Weapon Skill Accuracy+10<br>WAR/MNK/RDM/THF/PLD/DRK/BST/BRD/SAM/NIN/DRG/BLU/COR/DNC/RUN"", ""raw""=>""STR+6 VIT+6 INT+6 攻+15\nウェポンスキルの命中+10""}",27574
10845,1024,133184,イラニッドベルト,Elanid Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27575.html' target='_blank'>イラニッドベルト</a><br>STR+5 AGI+7 飛命+7 飛攻+7 敵対心-3<br>シ狩コ"", ""en""=>""<a href='http://wiki.ffo.jp/html/27575.html' target='_blank'>Elanid Belt</a><br>STR+5 AGI+7 Ranged Accuracy+7<br>Ranged Attack+7 Enmity-3<br>THF/RNG/COR"", ""raw""=>""STR+5 AGI+7 飛命+7 飛攻+7 敵対心-3""}",27575
10846,1024,17282,イスティオベルト,Istio Belt,"{""ja""=>""<a href='http://wiki.ffo.jp/html/27576.html' target='_blank'>イスティオベルト</a><br>攻+5 ストアTP+3 ヘイスト+6%<br>戦ナ暗獣竜"", ""en""=>""<a href='http://wiki.ffo.jp/html/27576.html' target='_blank'>Istio Belt</a><br>Attack+5 \""Store TP\""+3 Haste+6%<br>WAR/PLD/DRK/BST/DRG"", ""raw""=>""攻+5 ストアTP+3 ヘイスト+6%""}",27576
10928,512,20736,ガネーシャマーラー,Ganesha's Mala,"{""ja""=>""<a href='http://wiki.ffo.jp/html/24110.html' target='_blank'>ガネーシャマーラー</a><br>VIT+4 モクシャ-4 クワッドアタック+2%<br>暗侍竜"", ""en""=>""<a href='http://wiki.ffo.jp/html/24110.html' target='_blank'>Ganesha's Mala</a><br>VIT+4 \""Subtle Blow\""-4<br>\""Quadruple Attack\""+2%<br>DRK/SAM/DRG"", ""raw""=>""VIT+4 モクシャ-4 クワッドアタック+2%""}",24110
10958,512,8388606,ネファリアスカラー,Nefarious Collar,"{""ja""=>""<a href='http://wiki.ffo.jp/html/25941.html' target='_blank'>ネファリアスカラー</a><br>クリティカルヒット+3%<br>魔法クリティカルヒット+3%<br>魔法クリティカルヒットダメージアップ<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/25941.html' target='_blank'>Nefarious Collar</a><br>Critical hit rate +3%<br>Magic critical hit rate +3%<br>Increases magic critical hit damage<br>All Jobs"", ""raw""=>""クリティカルヒット+3%\n魔法クリティカルヒット+3%\n魔法クリティカルヒットダメージアップ""}",25941
10960,512,8388606,ファライナロケット,Phalaina Locket,"{""ja""=>""<a href='http://wiki.ffo.jp/html/26465.html' target='_blank'>ファライナロケット</a><br>MND+3 ケアル回復量+4% 被ケアル回復量+4%<br>All Jobs"", ""en""=>""<a href='http://wiki.ffo.jp/html/26465.html' target='_blank'>Phalaina Locket</a><br>MND+3<br>\""Cure\"" potency +4%<br>Potency of \""Cure\"" effect received +4%<br>All Jobs"", ""raw""=>""MND+3 ケアル回復量+4% 被ケアル回復量+4%""}",26465
